IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
469.528,1.637 ,471.430 ,1.376 ,472.012,1.320 ,472.932 ,1.290 ,472.636,1.267 ,469.076 ,1.250 ,,,,
480.15,1.659 ,482.058 ,1.392 ,482.63,1.334 ,483.558 ,1.302 ,483.212,1.279 ,479.724 ,1.262 ,,,,
490.836,1.682 ,492.746 ,1.407 ,493.274,1.348 ,494.176 ,1.314 ,493.904,1.291 ,490.464 ,1.274 ,,,,
501.418,1.704 ,503.294 ,1.421 ,503.948,1.361 ,504.826 ,1.327 ,504.526,1.303 ,501.106 ,1.286 ,,,,
512.116,1.727 ,513.936 ,1.437 ,514.558,1.374 ,515.488 ,1.340 ,515.092,1.315 ,511.770 ,1.297 ,,,,
522.716,1.750 ,524.554 ,1.452 ,525.168,1.388 ,526.188 ,1.352 ,525.788,1.327 ,522.476 ,1.309 ,,,,
533.56,1.774 ,535.160 ,1.466 ,535.996,1.401 ,536.850 ,1.364 ,536.38,1.338 ,533.120 ,1.321 ,,,,
544.042,1.797 ,545.886 ,1.481 ,546.67,1.414 ,547.536 ,1.375 ,547.02,1.350 ,543.804 ,1.332 ,,,,
554.78,1.822 ,556.428 ,1.497 ,557.436,1.428 ,558.190 ,1.387 ,557.628,1.362 ,554.476 ,1.343 ,,,,
565.466,1.846 ,567.250 ,1.511 ,567.988,1.440 ,568.878 ,1.400 ,568.222,1.373 ,565.180 ,1.354 ,,,,
575.964,1.872 ,577.546 ,1.525 ,578.616,1.453 ,579.602 ,1.411 ,578.966,1.384 ,575.814 ,1.365 ,,,,
586.506,1.899 ,588.582 ,1.541 ,589.116,1.467 ,590.146 ,1.424 ,589.62,1.395 ,586.496 ,1.377 ,,,,
597.34,1.925 ,598.896 ,1.555 ,599.802,1.478 ,600.906 ,1.436 ,600.19,1.407 ,597.198 ,1.386 ,,,,
607.838,1.952 ,609.672 ,1.570 ,610.226,1.491 ,611.526 ,1.448 ,610.944,1.419 ,607.934 ,1.398 ,,,,
618.308,1.981 ,620.138 ,1.584 ,620.736,1.504 ,622.014 ,1.460 ,621.588,1.431 ,618.622 ,1.410 ,,,,
629.142,2.011 ,630.972 ,1.599 ,631.71,1.517 ,632.728 ,1.471 ,632.252,1.441 ,629.316 ,1.420 ,,,,
639.016,2.039 ,641.836 ,1.615 ,642.202,1.529 ,643.354 ,1.483 ,642.934,1.454 ,640.032 ,1.431 ,,,,
649.554,2.070 ,651.896 ,1.628 ,652.91,1.542 ,653.720 ,1.494 ,653.536,1.464 ,650.716 ,1.442 ,,,,
661.248,2.108 ,663.332 ,1.643 ,663.618,1.555 ,664.644 ,1.506 ,664.26,1.475 ,661.442 ,1.453 ,,,,
670.798,2.138 ,673.696 ,1.657 ,674.486,1.567 ,675.174 ,1.518 ,674.742,1.485 ,672.146 ,1.464 ,,,,
