IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
,,835.116 ,1.502 ,839.776 ,1.433 ,839.462,1.3961,840.816,1.3759,843.582,1.3612,,,,
,,844.634 ,1.508 ,851.160 ,1.440 ,850.728,1.403,850.858,1.3799,854.558,1.3661,,,,
,,855.984 ,1.517 ,860.736 ,1.445 ,861.386,1.4089,861.184,1.3862,864.024,1.3727,,,,
,,865.692 ,1.524 ,871.688 ,1.452 ,871.208,1.4143,871.708,1.3921,875.234,1.378,,,,
,,875.642 ,1.532 ,882.306 ,1.458 ,881.818,1.4205,882.358,1.3977,885.628,1.3831,,,,
,,887.218 ,1.541 ,892.716 ,1.465 ,894.026,1.4275,893.948,1.4035,896.754,1.3902,,,,
,,897.752 ,1.547 ,903.838 ,1.471 ,902.902,1.4324,903.82,1.4094,906.816,1.3939,,,,
,,908.112 ,1.556 ,914.854 ,1.479 ,915.108,1.4398,913.844,1.4136,917.86,1.3996,,,,
,,918.620 ,1.563 ,924.612 ,1.484 ,924.728,1.4451,925.054,1.4194,928.09,1.4049,,,,
,,929.392 ,1.572 ,936.038 ,1.491 ,935.062,1.4507,935.818,1.4252,938.272,1.4103,,,,
,,940.618 ,1.579 ,946.276 ,1.497 ,946.142,1.4562,946.702,1.4317,949.032,1.4159,,,,
,,950.660 ,1.587 ,958.212 ,1.505 ,957.456,1.4627,956.918,1.4358,959.662,1.4197,,,,
,,961.608 ,1.595 ,967.214 ,1.511 ,967.106,1.4677,968.21,1.4424,970.216,1.4255,,,,
,,971.290 ,1.602 ,978.914 ,1.517 ,978.156,1.4742,978.484,1.4478,980.598,1.4302,,,,
,,982.882 ,1.611 ,989.680 ,1.523 ,988.488,1.4796,988.486,1.4525,990.92,1.4355,,,,
,,993.042 ,1.618 ,1000.006 ,1.530 ,999.084,1.4866,998.802,1.4587,1002.39,1.4421,,,,
